max_moving_frame,max_variance,max_therhold_pixel_num,max_R,is_fall
14,1.9725000000000001,6,18.333333333333332,0
19,1.9256249999999997,9,24.0,0
20,1.585,7,24.5,0
15,1.8681250000000003,7,18.333333333333332,0
25,2.903125,10,20.4,0
21,2.5256250000000002,8,20.0,0
23,1.6306249999999998,8,17.5,0
19,2.243125,8,24.0,0
20,2.805625,7,22.0,0
24,2.0131249999999996,7,25.2,0
18,2.1875,6,22.0,0
19,1.9025000000000003,6,20.0,0
21,2.618125,7,20.0,0
16,2.1350000000000002,7,19.5,0
20,1.6506250000000002,6,17.5,0
24,3.2181250000000006,11,19.5,0
25,2.085,11,19.5,0
23,2.835,11,18.333333333333332,0
23,2.680625,10,15.0,0
